quality_test_id,title,url,description,category
QT001,企業A、新商品を発表,https://example.com/1,企業Aが革新的な新商品を市場に投入すると発表した,M&A・役員変更
QT002,企業B、役員変更を実施,https://example.com/2,企業Bが重要な役員の人事異動を発表,M&A・役員変更
QT003,企業C、M&A実施,https://example.com/3,企業Cが業界大手企業との合併を発表,M&A・役員変更
QT004,企業D、詐欺疑惑浮上,https://example.com/4,企業Dに対して詐欺疑惑が浮上している,詐欺
QT005,企業E、逮捕者発生,https://example.com/5,企業Eの幹部が逮捕された,逮捕
QT006,株式会社F、業績下方修正,https://example.com/6,F社が今期の業績予想を大幅に下方修正した,不正会計
QT007,G商事、海外進出を発表,https://example.com/7,G商事がアジア市場への本格進出を発表,M&A・役員変更
QT008,H銀行、システム障害発生,https://example.com/8,H銀行でシステム障害が発生し全国で取引停止,システム障害
QT009,I製薬、新薬の承認取得,https://example.com/9,I製薬が画期的な新薬の薬事承認を取得,M&A・役員変更
QT010,J建設、談合疑惑で捜査,https://example.com/10,J建設が公共工事の談合疑惑で検察の捜査を受けている,法規制違反
QT011,K電力、原発停止を発表,https://example.com/11,K電力が安全点検のため原子力発電所の稼働を停止,事故・トラブル
QT012,L食品、食中毒事件発生,https://example.com/12,L食品の製品が原因とされる食中毒事件が発生,事故・トラブル
QT013,M証券、インサイダー取引疑惑,https://example.com/13,M証券の元役員がインサイダー取引を行った疑いで調査中,詐欺
QT014,N運輸、ストライキ実施,https://example.com/14,N運輸の従業員がストライキを実施し運行に大きな影響,労働問題
QT015,O製造、データ改ざん発覚,https://example.com/15,O製造で製品データの改ざんが発覚し全面的な調査を実施,データ改ざん
QT016,P銀行、融資詐欺事件,https://example.com/16,P銀行の支店長が架空の融資で詐欺を働いていた,詐欺
QT017,Q商事、役員の背任容疑で逮捕,https://example.com/17,Q商事の役員が背任の容疑で警察に逮捕された,逮捕
QT018,R建設、手抜き工事で事故,https://example.com/18,R建設の手抜き工事が原因で建物の一部が倒壊する事故,事故・トラブル
QT019,S化学、環境基準違反で処分,https://example.com/19,S化学が環境基準に違反し行政処分を受けた,環境問題
QT020,T金融、システム障害復旧,https://example.com/20,T金融のATMシステム障害が復旧し通常業務を再開,システム障害
QT021,U製薬、副作用データ隠蔽,https://example.com/21,U製薬が新薬の副作用データを隠蔽していた疑いが浮上,データ改ざん
QT022,V商社、粉飾決算疑惑,https://example.com/22,V商社に対して粉飾決算の疑惑が持たれている,不正会計
QT023,W電機、リコール実施,https://example.com/23,W電機が製品の欠陥により大規模なリコールを実施,事故・トラブル
QT024,X食品、表示偽装で処分,https://example.com/24,X食品が原産地表示を偽装し消費者庁から処分を受けた,法規制違反
QT025,Y運送、過労運転で事故,https://example.com/25,Y運送の運転手が過労運転により交通事故を起こした,労働問題
QT026,Z銀行、不正融資で損失,https://example.com/26,Z銀行で不正融資により巨額の損失が発生,詐欺
QT027,AA製造、労働基準法違反,https://example.com/27,AA製造が労働基準法に違反し労働基準監督署から是正勧告,労働問題
QT028,BB商事、合併発表,https://example.com/28,BB商事が同業他社との合併を正式に発表,M&A・役員変更
QT029,CC化学、工場爆発事故,https://example.com/29,CC化学の工場で爆発事故が発生し周辺住民が避難,事故・トラブル
QT030,DD証券、相場操縦疑惑,https://example.com/30,DD証券が株式相場を操縦した疑惑で調査を受けている,詐欺
QT031,EE建設、耐震偽装発覚,https://example.com/31,EE建設が建築物の耐震データを偽装していたことが発覚,データ改ざん
QT032,FF食品、異物混入問題,https://example.com/32,FF食品の製品に異物が混入し自主回収を実施,事故・トラブル
QT033,GG電力、環境汚染問題,https://example.com/33,GG電力の発電所から有害物質が漏出し環境汚染が発生,環境問題
QT034,HH金融、個人情報漏洩,https://example.com/34,HH金融で顧客の個人情報が大量に漏洩する事件が発生,システム障害
QT035,II製薬、臨床試験不正,https://example.com/35,II製薬が新薬の臨床試験でデータを不正に操作していた,データ改ざん
QT036,JJ商社、脱税で告発,https://example.com/36,JJ商社が巨額脱税により検察に告発された,詐欺
QT037,KK運輸、運転手逮捕,https://example.com/37,KK運輸の運転手が飲酒運転により逮捕された,逮捕
QT038,LL建設、新社長就任,https://example.com/38,LL建設が業績回復のため新社長を迎えることを発表,M&A・役員変更
QT039,MM化学、廃棄物不法投棄,https://example.com/39,MM化学が産業廃棄物を不法投棄し環境問題を引き起こした,環境問題
QT040,NN銀行、サイバー攻撃被害,https://example.com/40,NN銀行がサイバー攻撃を受けシステムに障害が発生,システム障害
QT041,OO製造、品質データ偽装,https://example.com/41,OO製造で製品の品質データが組織的に偽装されていた,データ改ざん
QT042,PP食品、売上高水増し,https://example.com/42,PP食品が売上高を水増しして決算を操作していた,不正会計
QT043,QQ電機、製品事故多発,https://example.com/43,QQ電機の製品で事故が多発しリコールを検討中,事故・トラブル
QT044,RR商事、独占禁止法違反,https://example.com/44,RR商事が独占禁止法に違反し公正取引委員会から処分,法規制違反
QT045,SS運送、違法残業問題,https://example.com/45,SS運送で違法な長時間残業が常態化していることが発覚,労働問題
QT046,TT証券、顧客資金流用,https://example.com/46,TT証券の営業担当が顧客資金を不正に流用していた,詐欺
QT047,UU建設、社長逮捕,https://example.com/47,UU建設の社長が贈収賄容疑で逮捕された,逮捕
